name;hue;saturation;luminosity
Nickel;120;1;45
Pakistan green;120;100;20
Russian green;120;17;49
Screamin Green;120;100;70
Celadon;123;47;78
Hunter green;129;28;29
Middle green;130;29;43
Eton blue;134;31;69
Ash gray;135;9;72
Erin;135;100;50
Xanadu;136;8;49
Cambridge blue;140;20;70
Emerald;140;52;55
Malachite;140;90;45
Paris Green;140;52;55
Shiny Shamrock;141;29;51
Turquoise green;142;40;73
Green;143;100;34
Sea green;146;50;36
Amazon;147;35;36
Medium sea green;147;50;47
Android green;148;69;55
Green;149;100;32
Forest green;149;97;14
Dark spring green;150;66;27
Mint cream;150;100;98
Spring green;150;100;50
Phthalo green;151;49;14
Magic mint;153;70;80
Morning blue;153;11;60
Spanish green;153;100;28
Cadmium green;154;100;21
Medium aquamarine;154;64;63
Green;156;100;34
Shamrock green;156;100;31
Medium spring green;157;100;49
Green;158;72;39
Jade;158;100;33
Mint;158;49;47
Aquamarine;160;100;75
Green;160;100;31
Green-cyan;160;100;30
Sacramento State green;160;87;12
Mountain Meadow;161;59;46
Viridian;161;34;38
Dark jungle green;162;16;12
Green;163;100;33
Hookers green;163;25;38
Jungle green;163;61;42
Spanish viridian;163;100;25
Illuminating emerald;164;49;38
Opal;164;18;71
Caribbean green;165;100;40
Polished Pine;166;28;50
Zomp;166;49;44
Green;167;48;18
Wintergreen Dream;167;23;44
Generic viridian;168;100;25
Gotham green;168;100;17
Green Sheen;168;28;56
Paolo Veronese green;168;100;30
Sea green;168;100;50
Tropical rainforest;168;100;23
Middle blue green;170;50;70
Keppel;171;50;46
Persian green;173;100;33
Turquoise;174;72;56
Pine green;175;98;24
Myrtle green;176;42;33
Turquoise blue;176;100;50
Light sea green;177;70;41
Verdigris;177;46;48
Deep jungle green;178;100;15
Medium turquoise;178;60;55
Tiffany Blue;178;90;38
Aqua;180;100;50
Azure;180;100;97
Celeste;180;100;85
Cyan;180;100;50
Dark cyan;180;100;27
Dark slate gray;180;25;25
Italian sky blue;180;100;85
Light cyan;180;100;94
Maximum blue green;180;60;47
Rich black;180;100;13
Robin egg blue;180;100;40
Skobeloff;180;100;23
